song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
El Gato Y Yo,49,207573,0.00633,0.753,0.802,0.000127,4,0.919,-6.1979999999999995,0,0.0354,129.99200000000002,4,0.9279999999999999
Ego,69,210431,0.188,0.833,0.5670000000000001,0.0,7,0.0999,-5.16,0,0.1,127.995,4,0.203
Wake Me Up When September Ends,79,285653,0.023,0.546,0.8140000000000001,0.0,7,0.0972,-5.146,1,0.0314,104.98,4,0.146
I Got 5 On It,61,253533,0.193,0.583,0.6920000000000001,0.0,10,0.121,-7.932,0,0.36200000000000004,174.141,4,0.595
Sleep On The Floor,70,211851,0.249,0.389,0.431,0.0,7,0.13,-8.061,1,0.0344,142.14,4,0.275
Na' Nuevo,75,283000,0.384,0.7959999999999999,0.625,0.00778,5,0.10099999999999999,-6.224,0,0.262,150.02100000000002,4,0.561
Ain't No Rest for the Wicked,73,175493,0.0438,0.634,0.8490000000000001,0.0,0,0.363,-7.075,1,0.105,156.004,4,0.919
Amárrame,75,207333,0.247,0.563,0.674,0.0022600000000000003,5,0.107,-4.553999999999999,0,0.048,179.977,4,0.784
Nice Boys,64,180845,0.495,0.546,0.669,0.735,2,0.25,-10.806,1,0.10300000000000001,75.14399999999999,4,0.337
And Along Came the Rain,64,163960,0.987,0.322,0.0231,0.924,10,0.10800000000000001,-24.111,0,0.0411,69.031,4,0.0844
Every Breath You Take,45,253733,0.413,0.828,0.447,0.00335,1,0.07400000000000001,-10.562999999999999,1,0.0349,117.391,4,0.6759999999999999
One Step Closer,75,157333,0.0014,0.49200000000000005,0.9690000000000001,1.32e-06,9,0.0787,-4.419,1,0.0491,95.13600000000001,4,0.5379999999999999
Home,47,214000,0.0027,0.622,0.941,0.00185,9,0.132,-4.651,1,0.162,89.756,4,0.552
Better Life,33,286693,0.29100000000000004,0.5479999999999999,0.838,2.7000000000000004e-06,1,0.179,-4.981,1,0.0363,98.007,4,0.672
Right Thurr,71,250746,0.15,0.866,0.7490000000000001,0.0,2,0.0591,-3.977,1,0.253,92.07700000000001,4,0.8909999999999999
Love Wins,71,228640,0.0112,0.523,0.865,0.0,7,0.153,-4.697,1,0.0989,135.115,4,0.325
ZIG TECH (feat. Kash Bang),36,219529,0.39299999999999996,0.8270000000000001,0.735,0.0,1,0.203,-5.792999999999999,1,0.29,115.97,4,0.596
You & Me,30,181524,0.000749,0.39799999999999996,0.893,0.0,4,0.128,-3.217,1,0.0783,146.005,4,0.563
REDMERCEDES - Remix,46,226160,0.0167,0.813,0.606,0.0135,1,0.19399999999999998,-6.497000000000001,0,0.23399999999999999,102.042,4,0.45399999999999996
Don't Need You - Edit,23,267997,3.01e-05,0.212,0.97,2.83e-06,7,0.0682,-4.68,1,0.132,152.577,4,0.349
Gone,50,247106,0.0017,0.29,0.88,2.8699999999999996e-05,1,0.636,-5.242000000000001,1,0.0477,164.26,4,0.42700000000000005
Lonely Press Play,46,222760,0.293,0.759,0.315,3.8799999999999994e-05,7,0.0984,-13.955,1,0.0961,129.95600000000002,4,0.547
Pégame Tu Vicio,53,301133,0.0858,0.701,0.847,2.6000000000000002e-05,2,0.0816,-7.892,1,0.0417,137.375,4,0.8170000000000001
Love Lies (with Normani),89,201707,0.0956,0.708,0.648,0.0,6,0.134,-5.626,1,0.0449,143.955,4,0.33799999999999997
STOOPID,90,152000,0.13,0.733,0.63,0.0,11,0.162,-4.296,1,0.395,149.989,4,0.8320000000000001
Semi-Charmed Life,76,268360,0.008320000000000001,0.64,0.8640000000000001,0.0,7,0.12300000000000001,-6.5760000000000005,1,0.0315,102.02600000000001,4,0.7
Oh My Heart,57,191522,3.6099999999999997e-05,0.469,0.894,0.535,8,0.512,-4.981,1,0.0508,162.981,4,0.47600000000000003
Consequences - orchestra,79,181913,0.645,0.547,0.289,0.0,0,0.14800000000000002,-8.131,1,0.0348,104.851,3,0.213
Play It Cool,40,195200,0.131,0.506,0.846,0.00761,9,0.42100000000000004,-6.454,1,0.0345,101.61399999999999,4,0.815
Un Cafe Para Platon,47,242560,0.7909999999999999,0.34600000000000003,0.39799999999999996,5.21e-05,9,0.154,-12.539000000000001,1,0.0366,86.05799999999999,4,0.381
Te He Prometido (En Vivo),63,190280,0.221,0.674,0.8909999999999999,0.0,7,0.927,-4.7860000000000005,1,0.0477,129.97,4,0.648
Catchin' The Vibe,51,163413,0.133,0.904,0.557,0.0026100000000000003,1,0.0926,-6.7170000000000005,1,0.34,90.844,4,0.8190000000000001
Rock Your Body,74,267266,0.20199999999999999,0.8909999999999999,0.7140000000000001,0.000234,4,0.0521,-6.055,0,0.14,100.97200000000001,4,0.818
Up With People,4,359360,0.33899999999999997,0.5579999999999999,0.539,0.217,9,0.133,-12.86,1,0.0296,136.049,4,0.496
This DJ,42,204985,0.0413,0.794,0.509,0.00842,6,0.225,-8.783999999999999,0,0.11,92.046,4,0.586
Let It Fly (feat. Travis Scott),88,186872,0.0414,0.902,0.8190000000000001,0.0,1,0.106,-3.321,1,0.317,89.0,4,0.746
Top of the World,31,162051,0.000978,0.485,0.983,0.0,6,0.183,-3.948,1,0.0762,73.994,4,0.7040000000000001
The Beast,1,219573,0.297,0.701,0.9179999999999999,0.0,5,0.626,-4.16,0,0.45299999999999996,204.271,4,0.765
Stronger (What Doesn't Kill You),52,221920,0.0411,0.555,0.9229999999999999,0.0,0,0.11199999999999999,-5.9079999999999995,1,0.0482,116.012,4,0.682
Easy,72,314357,0.373,0.722,0.282,0.00557,5,0.147,-7.484,1,0.106,91.367,4,0.217
The Immigrants,25,268728,0.541,0.515,0.8859999999999999,0.0,2,0.0947,-3.139,1,0.0786,89.965,4,0.531
It's Too Late,10,232431,0.498,0.45,0.441,0.00562,9,0.133,-12.718,0,0.0352,208.282,4,0.8109999999999999
Thunder Kiss '65 - JDevil Number Of The Beast Remix,45,229080,3.21e-05,0.621,0.8640000000000001,0.299,9,0.35700000000000004,-5.968999999999999,1,0.155,127.99700000000001,4,0.304
Midnight Hour,48,197973,0.00461,0.32299999999999995,0.429,0.0198,0,0.0907,-9.236,0,0.0294,172.005,4,0.309
Amsterdam - Recorded at Spotify Studios NYC,67,193671,0.909,0.532,0.317,0.0277,0,0.11,-10.693,1,0.0309,140.671,3,0.28
Ela Partiu,36,255600,0.444,0.579,0.617,4.31e-06,2,0.14300000000000002,-7.586,0,0.0458,80.439,4,0.718
Flowers,60,181237,0.524,0.466,0.413,0.0,3,0.374,-11.772,0,0.445,172.94099999999997,5,0.366
Mind Your Own Business - Single Version,34,177600,0.9,0.737,0.316,0.0,4,0.111,-14.106,1,0.0391,140.832,4,0.8220000000000001
Bark at the Moon,65,257120,0.00253,0.303,0.961,6.2e-05,9,0.132,-5.332999999999999,0,0.243,146.591,4,0.305
Don't Tell 'Em - DaaHype Remix,32,242666,0.0407,0.536,0.8420000000000001,0.00224,9,0.0863,-4.224,1,0.33299999999999996,100.021,4,0.6559999999999999
Memorized,24,206373,0.33299999999999996,0.547,0.555,0.00031299999999999996,11,0.105,-7.316,0,0.163,95.102,4,0.575
Shed a Tear,64,235146,0.1,0.45799999999999996,0.813,0.0,11,0.188,-2.697,1,0.0566,139.886,4,0.314
Controlar,45,144024,0.297,0.645,0.317,0.511,6,0.161,-11.372,0,0.10300000000000001,100.044,4,0.0767
A Room of Her Own,41,228613,0.0023899999999999998,0.728,0.735,0.00028,0,0.0982,-6.247000000000001,1,0.0325,123.96700000000001,4,0.5579999999999999
Psychotic Reaction,55,185523,0.000242,0.34600000000000003,0.75,0.0119,11,0.271,-6.619,1,0.10300000000000001,165.03599999999997,4,0.667
Salam - Original Mix,30,243249,0.551,0.6920000000000001,0.405,0.000388,0,0.9,-7.607,1,0.0303,109.993,4,0.42100000000000004
Do U?,53,251960,0.168,0.617,0.882,0.0,1,0.12,-2.701,0,0.10099999999999999,145.933,4,0.267
Como Te Extrano,50,230896,0.212,0.625,0.44,0.0,6,0.215,-12.07,1,0.0535,179.886,4,0.733
Tugboats,45,227152,0.787,0.5,0.201,0.0,2,0.184,-6.837999999999999,1,0.0335,119.71799999999999,3,0.436
Country Is,33,131400,0.805,0.508,0.537,0.00011200000000000001,0,0.085,-7.156000000000001,1,0.0288,146.144,4,0.941
Bring Me To Life,80,235893,0.00895,0.316,0.945,1.85e-06,4,0.396,-3.1689999999999996,0,0.124,189.93099999999998,4,0.32
American Made,47,159866,0.10800000000000001,0.696,0.513,0.000607,8,0.0379,-14.242,1,0.0336,129.21200000000002,4,0.972
Catch Up (feat. Chief Keef),69,190720,0.0786,0.62,0.667,0.0,1,0.0654,-4.971,0,0.22,136.119,4,0.27399999999999997
Judas,61,249066,0.000967,0.6609999999999999,0.937,1.59e-05,10,0.355,-3.83,0,0.0744,131.001,4,0.535
Shekar,23,216506,0.6890000000000001,0.5379999999999999,0.408,3.48e-06,2,0.0835,-10.788,0,0.0554,99.92399999999999,4,0.6
Bun Up the Dance,56,214066,0.0174,0.47600000000000003,0.938,0.00011100000000000001,1,0.384,-1.446,0,0.23399999999999999,105.264,4,0.258
Laa,43,203047,0.0556,0.9470000000000001,0.802,0.000225,2,0.35700000000000004,-6.074,1,0.133,130.019,4,0.8959999999999999
Time,38,220746,0.34600000000000003,0.47,0.6679999999999999,0.0,8,0.0876,-7.5889999999999995,1,0.36700000000000005,84.08200000000001,4,0.586
"Cool (feat. Marc E. Bassy, Gucci Mane)",48,190616,0.0634,0.631,0.746,0.0,2,0.0866,-5.49,1,0.147,94.988,4,0.321
Oh My,73,248093,0.342,0.7120000000000001,0.626,0.0,11,0.10800000000000001,-7.966,0,0.174,96.177,4,0.721
Fake Love,4,207813,0.182,0.924,0.5429999999999999,0.0,9,0.10300000000000001,-7.474,0,0.298,133.907,4,0.736
Breakeven,20,261426,0.17300000000000001,0.63,0.698,0.0,10,0.0789,-4.51,1,0.0244,94.023,4,0.529
Runnin’,60,235489,0.41200000000000003,0.626,0.414,0.00137,11,0.147,-10.630999999999998,0,0.109,179.99200000000002,4,0.38799999999999996
Strangers,39,224500,2.6600000000000003e-05,0.242,0.9570000000000001,0.00040899999999999997,5,0.23600000000000002,-3.6210000000000004,1,0.12300000000000001,186.15099999999998,4,0.504
Put Your Hands Where My Eyes Could See,65,194293,0.00864,0.9059999999999999,0.623,4.19e-06,1,0.0753,-6.711,0,0.303,99.49799999999999,4,0.715
All The Small Things,80,168000,0.0122,0.439,0.8909999999999999,0.0,0,0.547,-4.763999999999999,1,0.057,148.599,4,0.695
Where the Night Goes,31,229928,0.177,0.672,0.914,1.27e-06,10,0.109,-5.114,1,0.0354,100.007,4,0.787
Amigos Con Derechos,90,227476,0.0481,0.6859999999999999,0.807,0.0,1,0.0652,-3.324,1,0.0613,183.97099999999998,4,0.63
Girl - Acoustic,70,211881,0.945,0.413,0.272,0.0279,1,0.11199999999999999,-11.568,1,0.0317,109.69,4,0.355
Take On Me,85,225280,0.018000000000000002,0.573,0.902,0.00125,6,0.0928,-7.638,0,0.054000000000000006,84.412,4,0.8759999999999999
Best Friend,79,262231,0.395,0.575,0.7140000000000001,0.0,6,0.115,-5.247000000000001,1,0.0596,144.982,4,0.32
dream #1 [arrival],60,258461,0.883,0.247,0.109,0.826,0,0.1,-23.537,1,0.0408,66.538,4,0.0909
